player_id,player_name,team,source,competition,season,game_date,opponent,result,date,min,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,fouls,plus_minus,val
P003840,Axel Bouteille,Budućnost VOLI,eurocup,EuroCup,U2025,2026-02-03,ratiopharm ulm,V 103-90,2026-03-13,15.13,7.0,1.0,2.0,50.0,1.0,2.0,50.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-7.0,8.0
P009992,Darío Brizuela,FC Barcelona,euroleague,EuroLeague,E2025,2026-02-03,Fenerbahce Beko Istanbul,D 78-82,2026-03-13,19.23,11.0,4.0,9.0,44.4,1.0,5.0,20.0,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,7.0,0.0
P010581,Dylan Osetkowski,Partizan Mozzart Bet,euroleague,EuroLeague,E2025,2026-02-03,Maccabi Rapyd Tel Aviv,D 93-95,2026-03-13,30.43,17.0,2.0,3.0,66.7,4.0,5.0,80.0,1.0,1.0,100.0,1.0,5.0,6.0,1.0,1.0,1.0,0.0,3.0,4.0,21.0
P011217,Kameron Taylor,Valencia Basket,euroleague,EuroLeague,E2025,2026-02-03,Anadolu Efes Istanbul,D 90-107,2026-03-13,22.68,7.0,2.0,2.0,100.0,1.0,4.0,25.0,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,-18.0,6.0
P000848,Nemanja Nedović,AS Monaco,euroleague,EuroLeague,E2025,2026-02-03,Zalgiris Kaunas,D 87-104,2026-03-13,15.03,7.0,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,-5.0,7.0
P005596,Yankuba Sima,Valencia Basket,euroleague,EuroLeague,E2025,2026-02-03,Anadolu Efes Istanbul,D 90-107,2026-03-13,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
