player_id,player_name,source,competition,season,game_date,opponent,result,date,min,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,blk_against,fouls,fouls_received,plus_minus,val,team
P003842,Mathias Lessort,euroleague,EuroLeague,E2025,2026-03-20,Crvena Zvezda Meridianbet Belgrade,V 82-74,2026-03-24,17.08,3.0,0.0,1.0,0.0,0.0,0.0,,3.0,4.0,75.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,-8.0,4.0,Panathinaikos
P000848,Nemanja Nedović,euroleague,EuroLeague,E2025,2026-03-19,Anadolu Efes Istanbul,V 98-93,2026-03-24,13.58,7.0,0.0,2.0,0.0,1.0,4.0,25.0,4.0,4.0,100.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,2.0,-7.0,5.0,AS Monaco
P010581,Dylan Osetkowski,euroleague,EuroLeague,E2025,2026-03-19,Paris Basketball,V 90-81,2026-03-24,15.57,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,-4.0,Partizan Mozzart Bet
P009992,Darío Brizuela,euroleague,EuroLeague,E2025,2026-03-19,Valencia Basket,V 66-62,2026-03-24,20.48,7.0,2.0,5.0,40.0,1.0,4.0,25.0,0.0,0.0,,2.0,0.0,2.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,18.0,4.0,FC Barcelona
20209919,Darío Brizuela,acb,ACB,2025-26,2026-03-22,Barça-Real Madrid,76-95,2026-03-24,16.7,7.0,2.0,5.0,40.0,0.0,3.0,0.0,3.0,4.0,75.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,6.0,-5.0,8.0,FC Barcelona
P011305,Tyson Carter,euroleague,EuroLeague,E2025,2026-03-20,Panathinaikos AKTOR Athens,D 74-82,2026-03-24,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crvena zvezda
P005596,Yankuba Sima,euroleague,EuroLeague,E2025,2026-03-19,FC Barcelona,D 62-66,2026-03-24,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Valencia Basket
20213230,Yankuba Sima,acb,ACB,2025-26,2026-03-22,Valencia Basket-Coviran Granada,107-91,2026-03-24,9.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,3.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,Valencia Basket
30001981,Kameron Taylor,acb,ACB,2025-26,2026-02-15,MoraBanc And-Valencia Basket,75-107,2026-03-24,15.2,22.0,2.0,3.0,66.0,6.0,8.0,75.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,18.0,21.0,Valencia Basket
20210659,Giorgi Shermadini,acb,ACB,2025-26,2026-03-21,Unicaja-La Laguna TFE,70-95,2026-03-24,18.93,7.0,3.0,4.0,75.0,0.0,0.0,0.0,1.0,2.0,50.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,9.0,Lenovo Tenerife
la-laguna-tenerife/151899-giorgi-shermadini,Giorgi Shermadini,bcl,BCL,2025-26,2026-03-11,Gran Canaria,,2026-03-24,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,,-11.0,1.0,Lenovo Tenerife
20210707,Rubén Guerrero,acb,ACB,2025-26,2026-03-21,MoraBanc And-Surne Bilbao,98-102,2026-03-24,5.07,4.0,1.0,2.0,50.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,MoraBanc Andorra
20200277,Augusto Lima,acb,ACB,2025-26,2026-02-14,UCAM Murcia-Recoletas Salud,101-82,2026-03-24,2.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,San Pablo Burgos
P003840,Axel Bouteille,eurocup,EuroCup,U2025,2026-03-11,U-BT Cluj-Napoca,D 82-100,2026-03-24,13.55,8.0,1.0,2.0,50.0,1.0,4.0,25.0,3.0,3.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,-8.0,6.0,Budućnost VOLI
5313012,Mario Saint-Supéry,ncaa_espn,NCAA,2025-26,2026-03-21,vs 11 TEX,L 74-68,2026-03-24,31.0,9.0,2.0,2.0,100.0,1.0,6.0,16.7,2.0,2.0,100.0,,,2.0,5.0,0.0,1.0,0.0,,1.0,,,,Gonzaga Bulldogs
20204124,Jaime Fernández,acb,ACB,2025-26,2026-03-21,Unicaja-La Laguna TFE,70-95,2026-03-24,18.32,14.0,1.0,1.0,100.0,4.0,5.0,80.0,0.0,0.0,0.0,5.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,19.0,21.0,Lenovo Tenerife
la-laguna-tenerife/175433-jaime-fernandez,Jaime Fernández,bcl,BCL,2025-26,2026-03-17,Pallacanestro Trieste,,2026-03-24,20.0,7.0,2.0,4.0,50.0,1.0,6.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,3.0,,5.0,4.0,Lenovo Tenerife
20211625,Tim Abromaitis,acb,ACB,2025-26,2026-03-21,Unicaja-La Laguna TFE,70-95,2026-03-24,11.57,2.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,19.0,2.0,Lenovo Tenerife
la-laguna-tenerife/201675-tim-abromaitis,Tim Abromaitis,bcl,BCL,2025-26,2026-03-17,Pallacanestro Trieste,,2026-03-24,20.0,9.0,3.0,4.0,75.0,1.0,4.0,25.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,2.0,0.0,,2.0,,-9.0,8.0,Lenovo Tenerife
30000479,Yannick Nzosa,acb,ACB,2025-26,2026-03-21,Casademont Zgz-Recoletas Salud,108-98,2026-03-24,5.9,4.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,5.0,San Pablo Burgos
30000049,Melvin Ejim,acb,ACB,2025-26,2026-03-22,Hiopos Lleida-Asisa Joventut,86-88,2026-03-24,28.47,17.0,4.0,8.0,50.0,2.0,3.0,66.0,3.0,3.0,100.0,3.0,4.0,7.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,19.0,Hiopos Lleida
20210585,Francis Alonso,acb,ACB,2025-26,2026-03-22,Dreamland GC-Río Breogán,75-83,2026-03-24,28.15,7.0,1.0,5.0,20.0,1.0,5.0,20.0,2.0,2.0,100.0,3.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,5.0,2.0,San Pablo Burgos
