player_id,player_name,team,source,competition,season,game_date,opponent,result,date,min,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,fouls,plus_minus,val
20209919,Darío Brizuela,FC Barcelona,acb,ACB,2025-26,2025-12-28,Surne Bilbao-Barça,66-71,2026-03-13,13.67,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,-8.0,-2.0
20210659,Giorgi Shermadini,Lenovo Tenerife,acb,ACB,2025-26,2025-12-28,La Laguna TFE-Dreamland GC,70-71,2026-03-13,22.23,14.0,4.0,8.0,50.0,0.0,0.0,0.0,6.0,8.0,75.0,3.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,18.0
20204124,Jaime Fernández,Lenovo Tenerife,acb,ACB,2025-26,2025-12-28,La Laguna TFE-Dreamland GC,70-71,2026-03-13,15.97,6.0,1.0,2.0,50.0,0.0,1.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,8.0
30001981,Kameron Taylor,Valencia Basket,acb,ACB,2025-26,2025-12-28,Valencia Basket-MoraBanc And,84-79,2026-03-13,22.43,9.0,3.0,6.0,50.0,1.0,4.0,25.0,0.0,0.0,0.0,3.0,4.0,7.0,1.0,3.0,2.0,1.0,2.0,0.0,9.0
5313012,Mario Saint-Supéry,Gonzaga Bulldogs,ncaa_espn,NCAA,2025-26,2025-12-28,@ PEPP,W 96-56,2026-03-13,18.0,5.0,0.0,5.0,0.0,1.0,2.0,50.0,2.0,2.0,100.0,,,4.0,4.0,1.0,4.0,0.0,5.0,,
20210707,Rubén Guerrero,MoraBanc Andorra,acb,ACB,2025-26,2025-12-28,Valencia Basket-MoraBanc And,84-79,2026-03-13,14.05,6.0,2.0,2.0,100.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0
20211625,Tim Abromaitis,Lenovo Tenerife,acb,ACB,2025-26,2025-12-28,La Laguna TFE-Dreamland GC,70-71,2026-03-13,9.73,5.0,0.0,0.0,0.0,1.0,3.0,33.0,2.0,2.0,100.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,-10.0,4.0
20213230,Yankuba Sima,Valencia Basket,acb,ACB,2025-26,2025-12-28,Valencia Basket-MoraBanc And,84-79,2026-03-13,6.63,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.0,1.0
30000049,Melvin Ejim,Hiopos Lleida,acb,ACB,2025-26,2025-12-28,Bàsquet Girona-Hiopos Lleida,103-86,2026-03-23,31.02,15.0,2.0,6.0,33.0,1.0,6.0,16.0,8.0,10.0,80.0,4.0,0.0,4.0,3.0,0.0,2.0,1.0,3.0,-4.0,11.0
5100,Dylan Osetkowski,,aba,ABA League,2025-26,2025-12-28,Partizan-Split,,2026-03-24,23.47,5.0,1.0,3.0,33.3,1.0,2.0,50.0,0.0,2.0,0.0,3.0,1.0,4.0,1.0,2.0,2.0,0.0,3.0,25.0,3.0
1076,Dragan Milosavljević,,aba,ABA League,2025-26,2025-12-28,Igokea m:tel-Borac,,2026-03-24,29.05,10.0,4.0,8.0,50.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,2.0,3.0,1.0,4.0,0.0,2.0,2.0,8.0,15.0
