player_id,player_name,source,competition,season,game_date,opponent,result,date,min,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,fouls,plus_minus,val,team
20209919,Darío Brizuela,acb,ACB,2025-26,2025-10-12,Barça-Hiopos Lleida,86-91,2026-03-13,23.28,10.0,2.0,7.0,28.0,2.0,6.0,33.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,,4.0,10.0,10.0,FC Barcelona
20210585,Francis Alonso,acb,ACB,2025-26,2025-10-12,Río Breogán-Valencia Basket,90-113,2026-03-13,19.02,19.0,1.0,3.0,33.0,3.0,7.0,42.0,8.0,8.0,100.0,2.0,0.0,2.0,0.0,0.0,1.0,,0.0,-5.0,21.0,San Pablo Burgos
30001981,Kameron Taylor,acb,ACB,2025-26,2025-10-12,Río Breogán-Valencia Basket,90-113,2026-03-13,19.05,2.0,1.0,3.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,1.0,1.0,,0.0,-7.0,5.0,Valencia Basket
30000479,Yannick Nzosa,acb,ACB,2025-26,2025-10-12,Surne Bilbao-Recoletas Salud,95-85,2026-03-13,3.42,2.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-8.0,0.0,San Pablo Burgos
