player_id,player_name,team,source,competition,season,game_date,opponent,result,date,min,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,fouls,plus_minus,val
20209919,Darío Brizuela,FC Barcelona,acb,ACB,2025-26,2025-12-07,MoraBanc And,V 102-71,2026-03-13,15.88,7.0,1.0,2.0,50.0,1.0,4.0,25.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,21.0,5.0
20210659,Giorgi Shermadini,Lenovo Tenerife,acb,ACB,2025-26,2025-12-07,Real Madrid,D 70-71,2026-03-13,18.68,4.0,1.0,2.0,50.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,-3.0,6.0
20204124,Jaime Fernández,Lenovo Tenerife,acb,ACB,2025-26,2025-12-07,Real Madrid,D 70-71,2026-03-13,16.98,14.0,3.0,9.0,33.0,2.0,5.0,40.0,2.0,4.0,50.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,9.0,8.0
30001981,Kameron Taylor,Valencia Basket,acb,ACB,2025-26,2025-12-07,Kosner Baskonia,V 89-91,2026-03-13,24.72,11.0,4.0,6.0,66.0,1.0,3.0,33.0,0.0,2.0,0.0,7.0,0.0,7.0,2.0,1.0,0.0,0.0,2.0,16.0,16.0
5313012,Mario Saint-Supéry,Gonzaga Bulldogs,ncaa_espn,NCAA,2025-26,2025-12-07,vs UNF,V 109-58,2026-03-13,20.0,13.0,0.0,0.0,,4.0,4.0,100.0,1.0,1.0,100.0,,,3.0,7.0,2.0,2.0,0.0,1.0,,
20210707,Rubén Guerrero,MoraBanc Andorra,acb,ACB,2025-26,2025-12-07,Barça,D 102-71,2026-03-13,8.72,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,-8.0,-1.0
20211625,Tim Abromaitis,Lenovo Tenerife,acb,ACB,2025-26,2025-12-07,Real Madrid,D 70-71,2026-03-13,10.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-1.0
20213230,Yankuba Sima,Valencia Basket,acb,ACB,2025-26,2025-12-07,Kosner Baskonia,V 89-91,2026-03-13,11.48,8.0,2.0,4.0,50.0,0.0,1.0,0.0,4.0,5.0,80.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-14.0,5.0
26892,Mindaugas Kuzminskas,AEK BC,eurobasket,Greek League,2025-26,2025-12-07,Olympiacos,D 93-100,2026-03-24,8.0,5.0,1.0,3.0,33.3,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,2.0
