player_id,player_name,team,source,competition,season,game_date,opponent,result,date,min,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,fouls,plus_minus,val
20210585,Francis Alonso,San Pablo Burgos,acb,ACB,2025-26,2026-03-08,Barça,D 78-109,2026-03-13,24.17,13.0,4.0,7.0,57.0,1.0,2.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,-9.0,9.0
30000049,Melvin Ejim,Hiopos Lleida,acb,ACB,2025-26,2026-03-08,Kosner Baskonia,D 93-90,2026-03-23,24.72,18.0,5.0,11.0,45.0,2.0,3.0,66.0,2.0,2.0,100.0,6.0,1.0,7.0,0.0,1.0,0.0,0.0,3.0,-4.0,17.0
402220,Tyson Carter,Crvena zvezda,eurobasket,ABA League,2025-26,2026-03-08,Cluj Napoca,V 97-85,2026-03-24,10.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,,-2.0
5073,Axel Bouteille,Budućnost VOLI,aba,ABA League,2025-26,2026-03-08,Igokea m:tel,V 99-67,2026-03-24,24.08,11.0,4.0,6.0,66.7,1.0,5.0,20.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,10.0,10.0
5100,Dylan Osetkowski,Partizan Mozzart Bet,aba,ABA League,2025-26,2026-03-08,Bosna,V 96-56,2026-03-24,19.42,18.0,1.0,2.0,50.0,3.0,5.0,60.0,7.0,8.0,87.5,0.0,1.0,1.0,3.0,1.0,1.0,0.0,3.0,17.0,18.0
1076,Dragan Milosavljević,Igokea m:tel,aba,ABA League,2025-26,2026-03-08,Budućnost,D 67-99,2026-03-24,29.97,11.0,2.0,4.0,50.0,1.0,2.0,50.0,4.0,5.0,80.0,2.0,4.0,6.0,3.0,3.0,1.0,0.0,3.0,-13.0,18.0
