player_id,player_name,team,source,competition,season,game_date,opponent,result,date,min,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,fouls,plus_minus,val
P003840,Axel Bouteille,Budućnost VOLI,eurocup,EuroCup,U2025,2025-10-02,London Lions,V 86-59,2026-03-13,18.05,12.0,2.0,5.0,40.0,2.0,4.0,50.0,2.0,2.0,100.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,13.0
P010581,Dylan Osetkowski,Partizan Mozzart Bet,euroleague,EuroLeague,E2025,2025-10-02,EA7 Emporio Armani Milan,V 80-78,2026-03-13,19.38,3.0,0.0,2.0,0.0,1.0,2.0,50.0,0.0,0.0,,2.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,-10.0,2.0
P011305,Tyson Carter,Crvena zvezda,euroleague,EuroLeague,E2025,2025-10-02,FC Bayern Munich,D 88-97,2026-03-13,29.87,13.0,3.0,6.0,50.0,2.0,6.0,33.3,1.0,1.0,100.0,0.0,3.0,3.0,2.0,0.0,5.0,0.0,2.0,-6.0,5.0
