player_id,player_name,source,competition,season,game_date,opponent,result,date,min,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,fouls,plus_minus,val,team,blk_against,fouls_received
3155942,Domas Sabonis,nba,NBA,2025-26,2026-02-05,vs. MEM,D 125-129,2026-05-13,24.0,24.0,10.0,18.0,55.6,0.0,0.0,,4.0,4.0,100.0,7.0,8.0,15.0,3.0,1.0,1.0,0.0,3.0,-12.0,,Sacramento Kings,,
P003842,Mathias Lessort,euroleague,EuroLeague,E2025,2026-05-08,Valencia Basket,D 86-89,2026-05-13,31.05,8.0,4.0,9.0,44.4,0.0,0.0,,0.0,0.0,,8.0,3.0,11.0,5.0,0.0,1.0,0.0,3.0,4.0,19.0,Panathinaikos,1.0,5.0
252481,Mathias Lessort,eurobasket,Greek League,2025-26,2026-04-25,Mykonos,V 97-76,2026-05-13,20.0,10.0,2.0,4.0,50.0,0.0,0.0,,6.0,8.0,75.0,0.0,5.0,5.0,1.0,3.0,0.0,1.0,4.0,,19.0,Panathinaikos,,
P000848,Nemanja Nedović,euroleague,EuroLeague,E2025,2026-05-05,Olympiacos Piraeus,D 82-105,2026-05-13,14.27,2.0,1.0,1.0,100.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,-20.0,-6.0,AS Monaco,0.0,0.0
130801,Nemanja Nedović,eurobasket,LNB Pro A,2025-26,2026-05-10,Paris,D 95-123,2026-05-13,6.0,3.0,0.0,2.0,0.0,1.0,2.0,50.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,0.0,AS Monaco,,
5100,Dylan Osetkowski,aba,ABA League,2025-26,2026-05-10,Bosna Bh Telecom,V 87-73,2026-05-13,20.43,7.0,0.0,1.0,0.0,2.0,5.0,40.0,1.0,2.0,50.0,1.0,7.0,8.0,0.0,4.0,3.0,0.0,5.0,7.0,8.0,Partizan Mozzart Bet,,
P009992,Darío Brizuela,euroleague,EuroLeague,E2025,2026-04-24,AS Monaco,D 70-79,2026-05-13,17.92,10.0,2.0,3.0,66.7,2.0,6.0,33.3,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,-1.0,3.0,FC Barcelona,1.0,1.0
20209919,Darío Brizuela,acb,ACB,2025-26,2026-05-09,Recoletas Salud,V 37-24,2026-05-13,8.68,9.0,1.0,1.0,100.0,2.0,5.0,40.0,1.0,1.0,100.0,0.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,1.0,8.0,FC Barcelona,0.0,0.0
P011305,Tyson Carter,euroleague,EuroLeague,E2025,2026-04-21,FC Barcelona,D 72-80,2026-05-13,15.3,3.0,0.0,3.0,0.0,1.0,2.0,50.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,Crvena zvezda,0.0,3.0
402220,Tyson Carter,eurobasket,ABA League,2025-26,2026-05-07,Cedevita Ol.,V 101-92,2026-05-13,26.0,17.0,4.0,5.0,80.0,3.0,6.0,50.0,0.0,0.0,,2.0,0.0,2.0,5.0,0.0,4.0,0.0,3.0,,15.0,Crvena zvezda,,
20213230,Yankuba Sima,acb,ACB,2025-26,2026-05-10,Kosner Baskonia,D 20-23,2026-05-13,7.55,4.0,1.0,3.0,33.0,0.0,0.0,0.0,2.0,2.0,100.0,3.0,1.0,4.0,0.0,0.0,2.0,1.0,3.0,-19.0,2.0,Valencia Basket,1.0,1.0
P011217,Kameron Taylor,euroleague,EuroLeague,E2025,2026-05-08,Panathinaikos AKTOR Athens,V 89-86,2026-05-13,25.85,11.0,4.0,7.0,57.1,0.0,3.0,0.0,3.0,4.0,75.0,3.0,3.0,6.0,2.0,2.0,2.0,1.0,4.0,-5.0,14.0,Valencia Basket,0.0,5.0
30001981,Kameron Taylor,acb,ACB,2025-26,2026-05-10,Kosner Baskonia,D 20-23,2026-05-13,8.45,10.0,5.0,8.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,-8.0,8.0,Valencia Basket,1.0,0.0
20210659,Giorgi Shermadini,acb,ACB,2025-26,2026-05-02,MoraBanc And,D 89-90,2026-05-13,29.58,16.0,5.0,7.0,71.0,0.0,0.0,0.0,6.0,6.0,100.0,3.0,3.0,6.0,2.0,2.0,0.0,0.0,3.0,-1.0,26.0,Lenovo Tenerife,0.0,5.0
la-laguna-tenerife/151899-giorgi-shermadini,Giorgi Shermadini,bcl,BCL,2025-26,2026-05-09,Unicaja,D 80-85,2026-05-13,22.0,14.0,6.0,7.0,85.7,0.0,0.0,0.0,2.0,3.0,66.7,1.0,2.0,3.0,0.0,1.0,1.0,1.0,2.0,-13.0,16.0,Lenovo Tenerife,,
20210707,Rubén Guerrero,acb,ACB,2025-26,2026-05-10,BAXI Manresa,V 25-22,2026-05-13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,MoraBanc Andorra,0.0,0.0
FUENLABRADA/LIMA,Augusto Lima,feb,LEB Oro,2025-26,2026-05-08,Movistar Estudiantes,V 77-70,2026-05-13,16.25,2.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,Fuenlabrada,0.0,2.0
P003840,Axel Bouteille,eurocup,EuroCup,U2025,2026-03-11,U-BT Cluj-Napoca,D 82-100,2026-05-13,13.55,8.0,1.0,2.0,50.0,1.0,4.0,25.0,3.0,3.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,-8.0,6.0,Budućnost VOLI,0.0,1.0
5073,Axel Bouteille,aba,ABA League,2025-26,2026-05-12,U Bt Cluj Napoca,V 112-81,2026-05-13,21.0,21.0,7.0,9.0,77.8,2.0,3.0,66.7,1.0,1.0,100.0,4.0,6.0,10.0,2.0,2.0,1.0,0.0,3.0,28.0,28.0,Budućnost VOLI,,
26892,Mindaugas Kuzminskas,eurobasket,Greek League,2025-26,2026-03-22,Iraklis,V 100-87,2026-05-13,5.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,-1.0,AEK BC,,
1076,Dragan Milosavljević,aba,ABA League,2025-26,2026-05-03,Spartak Office Shoes,D 68-80,2026-05-13,11.12,4.0,1.0,2.0,50.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,-6.0,2.0,Igokea m:tel,,
ESTUDIANTES/GRANGER,Jayson Granger,feb,LEB Oro,2025-26,2026-05-08,Flexicar Fuenlabrada,D 70-77,2026-05-13,28.02,12.0,1.0,4.0,25.0,2.0,8.0,25.0,4.0,4.0,100.0,1.0,3.0,4.0,4.0,1.0,3.0,0.0,2.0,-6.0,13.0,CB Estudiantes,1.0,6.0
ESTUDIANTES/SALIN,Sasu Salin,feb,LEB Oro,2025-26,2026-05-08,Flexicar Fuenlabrada,D 70-77,2026-05-13,18.68,5.0,0.0,2.0,0.0,1.0,4.0,25.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,CB Estudiantes,0.0,1.0
201473,Kyle Wiltjer,eurobasket,Lega A,2025-26,2026-05-10,Tortona,D 75-78,2026-05-13,21.0,12.0,2.0,7.0,28.6,2.0,2.0,100.0,2.0,2.0,100.0,3.0,1.0,4.0,1.0,0.0,2.0,0.0,3.0,,7.0,Umana Reyer Venezia,,
P008052,Kyle Wiltjer,eurocup,EuroCup,U2025,2026-03-11,Dolomiti Energia Trento,D 90-94,2026-05-13,25.03,16.0,7.0,12.0,58.3,0.0,4.0,0.0,2.0,2.0,100.0,3.0,4.0,7.0,0.0,0.0,1.0,0.0,3.0,-6.0,12.0,Umana Reyer Venezia,0.0,2.0
20204124,Jaime Fernández,acb,ACB,2025-26,2026-04-25,UCAM Murcia,D 86-80,2026-05-13,19.1,11.0,2.0,5.0,40.0,2.0,3.0,67.0,1.0,2.0,50.0,0.0,2.0,2.0,4.0,3.0,1.0,0.0,2.0,-2.0,12.0,Lenovo Tenerife,1.0,1.0
la-laguna-tenerife/175433-jaime-fernandez,Jaime Fernández,bcl,BCL,2025-26,2026-05-09,Unicaja,D 80-85,2026-05-13,22.0,13.0,1.0,5.0,20.0,2.0,6.0,33.3,5.0,6.0,83.3,0.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,1.0,8.0,Lenovo Tenerife,,
20211625,Tim Abromaitis,acb,ACB,2025-26,2026-05-02,MoraBanc And,D 89-90,2026-05-13,13.83,5.0,1.0,2.0,50.0,0.0,3.0,0.0,3.0,4.0,75.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,-8.0,1.0,Lenovo Tenerife,0.0,2.0
la-laguna-tenerife/201675-tim-abromaitis,Tim Abromaitis,bcl,BCL,2025-26,2026-05-09,Unicaja,D 80-85,2026-05-13,28.0,4.0,0.0,0.0,0.0,1.0,3.0,33.3,1.0,2.0,50.0,1.0,4.0,5.0,2.0,0.0,1.0,0.0,3.0,-2.0,7.0,Lenovo Tenerife,,
