player_id,player_name,source,competition,season,game_date,opponent,result,date,min,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,fouls,plus_minus,val,team,blk_against,fouls_received
3155942,Domas Sabonis,nba,NBA,2025-26,2026-02-05,vs. MEM,D 125-129,2026-05-01,24.0,24.0,10.0,18.0,55.6,0.0,0.0,,4.0,4.0,100.0,7.0,8.0,15.0,3.0,1.0,1.0,0.0,3.0,-12.0,,Sacramento Kings,,
P003842,Mathias Lessort,euroleague,EuroLeague,E2025,2026-04-30,Valencia Basket,V 107-105,2026-05-01,28.77,7.0,2.0,5.0,40.0,0.0,0.0,,3.0,3.0,100.0,1.0,4.0,5.0,1.0,2.0,3.0,1.0,2.0,-1.0,12.0,Panathinaikos,1.0,5.0
252481,Mathias Lessort,eurobasket,Greek League,2025-26,2026-04-25,Mykonos,V 97-76,2026-05-01,20.0,10.0,2.0,4.0,50.0,0.0,0.0,,6.0,8.0,75.0,0.0,5.0,5.0,1.0,3.0,0.0,1.0,4.0,,19.0,Panathinaikos,,
P000848,Nemanja Nedović,euroleague,EuroLeague,E2025,2026-04-30,Olympiacos Piraeus,D 64-94,2026-05-01,18.85,4.0,2.0,3.0,66.7,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,-31.0,-1.0,AS Monaco,0.0,0.0
130801,Nemanja Nedović,eurobasket,LNB Pro A,2025-26,2026-03-29,Le Mans,V 99-85,2026-05-01,26.0,13.0,0.0,2.0,0.0,3.0,5.0,60.0,4.0,4.0,100.0,0.0,1.0,1.0,7.0,1.0,2.0,0.0,3.0,,13.0,AS Monaco,,
P010581,Dylan Osetkowski,euroleague,EuroLeague,E2025,2026-04-16,Kosner Baskonia Vitoria-Gasteiz,V 91-79,2026-05-01,16.9,8.0,1.0,2.0,50.0,2.0,3.0,66.7,0.0,0.0,,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,13.0,8.0,Partizan Mozzart Bet,0.0,0.0
5100,Dylan Osetkowski,aba,ABA League,2025-26,2026-04-19,Crvena Zvezda Meridianbet,V 81-74,2026-05-01,23.97,15.0,2.0,2.0,100.0,3.0,7.0,42.9,2.0,2.0,100.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,3.0,5.0,16.0,Partizan Mozzart Bet,,
P009992,Darío Brizuela,euroleague,EuroLeague,E2025,2026-04-24,AS Monaco,D 70-79,2026-05-01,17.92,10.0,2.0,3.0,66.7,2.0,6.0,33.3,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,-1.0,3.0,FC Barcelona,1.0,1.0
20209919,Darío Brizuela,acb,ACB,2025-26,2026-04-26,Kosner Baskonia,V 92-95,2026-05-01,10.43,5.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,-2.0,2.0,FC Barcelona,0.0,0.0
P011305,Tyson Carter,euroleague,EuroLeague,E2025,2026-04-21,FC Barcelona,D 72-80,2026-05-01,15.3,3.0,0.0,3.0,0.0,1.0,2.0,50.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,Crvena zvezda,0.0,3.0
402220,Tyson Carter,eurobasket,ABA League,2025-26,2026-04-19,Partizan,D 74-81,2026-05-01,21.0,12.0,3.0,5.0,60.0,2.0,6.0,33.3,0.0,0.0,,2.0,2.0,4.0,3.0,2.0,1.0,0.0,3.0,,11.0,Crvena zvezda,,
20213230,Yankuba Sima,acb,ACB,2025-26,2026-04-25,Real Madrid,D 21-30,2026-05-01,11.32,5.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,5.0,7.0,Valencia Basket,0.0,1.0
P011217,Kameron Taylor,euroleague,EuroLeague,E2025,2026-04-30,Panathinaikos AKTOR Athens,D 105-107,2026-05-01,31.02,12.0,4.0,7.0,57.1,1.0,3.0,33.3,1.0,2.0,50.0,3.0,4.0,7.0,3.0,0.0,1.0,0.0,1.0,-2.0,15.0,Valencia Basket,0.0,1.0
30001981,Kameron Taylor,acb,ACB,2025-26,2026-04-25,Real Madrid,D 82-96,2026-05-01,23.62,16.0,5.0,6.0,83.0,2.0,6.0,33.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,2.0,0.0,1.0,5.0,16.0,Valencia Basket,0.0,1.0
20210659,Giorgi Shermadini,acb,ACB,2025-26,2026-04-25,UCAM Murcia,D 27-24,2026-05-01,24.83,17.0,6.0,7.0,86.0,0.0,0.0,0.0,5.0,6.0,83.0,0.0,4.0,4.0,1.0,0.0,3.0,0.0,2.0,-4.0,19.0,Lenovo Tenerife,0.0,4.0
la-laguna-tenerife/151899-giorgi-shermadini,Giorgi Shermadini,bcl,BCL,2025-26,2026-04-15,Galatasaray,V 99-59,2026-05-01,19.0,20.0,5.0,5.0,100.0,0.0,0.0,0.0,10.0,10.0,100.0,3.0,10.0,13.0,3.0,0.0,1.0,1.0,2.0,38.0,36.0,Lenovo Tenerife,,
20210707,Rubén Guerrero,acb,ACB,2025-26,2026-04-26,Coviran Granada,D 31-24,2026-05-01,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,MoraBanc Andorra,0.0,0.0
FUENLABRADA/LIMA,Augusto Lima,feb,LEB Oro,2025-26,2026-04-26,Grupo Caesa Seguros Fc Cartagena Cb,V 91-82,2026-05-01,16.7,8.0,4.0,5.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,11.0,1.0,0.0,4.0,0.0,1.0,12.0,15.0,Fuenlabrada,1.0,2.0
P003840,Axel Bouteille,eurocup,EuroCup,U2025,2026-03-11,U-BT Cluj-Napoca,D 82-100,2026-05-01,13.55,8.0,1.0,2.0,50.0,1.0,4.0,25.0,3.0,3.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,-8.0,6.0,Budućnost VOLI,0.0,1.0
5073,Axel Bouteille,aba,ABA League,2025-26,2026-04-19,U Bt Cluj Napoca,V 110-72,2026-05-01,14.22,7.0,1.0,3.0,33.3,1.0,2.0,50.0,2.0,2.0,100.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,5.0,Budućnost VOLI,,
