player_id,player_name,team,source,competition,season,game_date,opponent,result,date,min,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,fouls,plus_minus,val
P009992,Darío Brizuela,FC Barcelona,euroleague,EuroLeague,E2025,2025-10-10,Valencia Basket,V 108-102,2026-03-13,9.45,3.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,-1.0,-1.0
P011217,Kameron Taylor,Valencia Basket,euroleague,EuroLeague,E2025,2025-10-10,FC Barcelona,D 102-108,2026-03-13,16.53,5.0,0.0,2.0,0.0,1.0,2.0,50.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,-11.0,1.0
P011305,Tyson Carter,Crvena zvezda,euroleague,EuroLeague,E2025,2025-10-10,Fenerbahce Beko Istanbul,V 86-81,2026-03-13,26.18,15.0,2.0,7.0,28.6,3.0,6.0,50.0,2.0,2.0,100.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,3.0,2.0,12.0
