player_id,player_name,source,competition,season,game_date,opponent,result,date,min,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,blk_against,fouls,fouls_received,plus_minus,val,team
5313012,Mario Saint-Supéry,ncaa_espn,NCAA,2025-26,2026-03-21,vs 11 TEX,D 74-68,2026-03-27,31.0,9.0,2.0,2.0,100.0,1.0,6.0,16.7,2.0,2.0,100.0,,,2.0,5.0,0.0,1.0,0.0,,1.0,,,,Gonzaga Bulldogs
20204124,Jaime Fernández,acb,ACB,2025-26,2026-03-21,Unicaja,V 70-95,2026-03-27,18.32,14.0,1.0,1.0,100.0,4.0,5.0,80.0,0.0,0.0,0.0,5.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,19.0,21.0,Lenovo Tenerife
20211625,Tim Abromaitis,acb,ACB,2025-26,2026-03-21,Unicaja,V 70-95,2026-03-27,11.57,2.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,19.0,2.0,Lenovo Tenerife
la-laguna-tenerife/201675-tim-abromaitis,Tim Abromaitis,bcl,BCL,2025-26,2026-03-17,Pallacanestro Trieste,,2026-03-27,20.0,9.0,3.0,4.0,75.0,1.0,4.0,25.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,2.0,0.0,,2.0,,-9.0,8.0,Lenovo Tenerife
30000479,Yannick Nzosa,acb,ACB,2025-26,2026-03-21,Casademont Zgz,D 108-98,2026-03-27,5.9,4.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,5.0,San Pablo Burgos
30000049,Melvin Ejim,acb,ACB,2025-26,2026-03-22,Asisa Joventut,D 86-88,2026-03-27,28.47,17.0,4.0,8.0,50.0,2.0,3.0,67.0,3.0,3.0,100.0,3.0,4.0,7.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,19.0,Hiopos Lleida
20210585,Francis Alonso,acb,ACB,2025-26,2026-03-22,Dreamland GC,V 75-83,2026-03-27,28.15,7.0,1.0,5.0,20.0,1.0,5.0,20.0,2.0,2.0,100.0,3.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,5.0,2.0,Río Breogán
20204156,Dani Díez,acb,ACB,2025-26,2026-03-21,Casademont Zgz,D 108-98,2026-03-27,22.88,14.0,1.0,2.0,50.0,4.0,7.0,57.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.0,16.0,San Pablo Burgos
P003983,Aleksa Avramović,euroleague,EuroLeague,E2025,2026-03-19,FC Bayern Munich,V 87-74,2026-03-27,5.92,3.0,0.0,0.0,,1.0,2.0,50.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,-4.0,0.0,Dubai Basketball
3857,Aleksa Avramović,aba,ABA League,2025-26,2026-03-08,Cedevita Olimpija,D 80-93,2026-03-27,16.2,2.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0,100.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,,3.0,,-13.0,0.0,Dubai Basketball
136973,Jeffrey Brooks,eurobasket,Lega A,2025-26,2026-02-08,Tortona,D 99-104,2026-03-27,21.0,4.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,,1.0,5.0,6.0,1.0,0.0,1.0,0.0,,0.0,,,8.0,Pallacanestro Trieste
pallacanestro-trieste/192665-jeff-brooks,Jeffrey Brooks,bcl,BCL,2025-26,2026-02-11,Gran Canaria,D 70-94,2026-03-27,22.0,5.0,1.0,4.0,25.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,,0.0,,-12.0,5.0,Pallacanestro Trieste
