player_id,player_name,team,source,competition,season,game_date,opponent,result,date,min,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,fouls,plus_minus,val
P003842,Mathias Lessort,Panathinaikos,euroleague,EuroLeague,E2025,2026-03-24,Dubai Basketball,V 107-104,2026-03-25,19.72,10.0,4.0,6.0,66.7,0.0,0.0,,2.0,4.0,50.0,5.0,2.0,7.0,1.0,0.0,1.0,0.0,3.0,6.0,17.0
P000848,Nemanja Nedović,AS Monaco,euroleague,EuroLeague,E2025,2026-03-24,EA7 Emporio Armani Milan,V 90-85,2026-03-25,13.43,5.0,1.0,2.0,50.0,1.0,3.0,33.3,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,-18.0,0.0
130801,Nemanja Nedović,AS Monaco,eurobasket,LNB Pro A,2025-26,2026-03-21,Gravelines,V 89-77,2026-03-25,19.0,4.0,2.0,2.0,100.0,0.0,3.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,,1.0
P010581,Dylan Osetkowski,Partizan Mozzart Bet,euroleague,EuroLeague,E2025,2026-03-24,LDLC ASVEL Villeurbanne,V 79-78,2026-03-25,25.35,16.0,1.0,2.0,50.0,4.0,5.0,80.0,2.0,2.0,100.0,0.0,5.0,5.0,1.0,1.0,0.0,1.0,2.0,9.0,22.0
5100,Dylan Osetkowski,Partizan Mozzart Bet,aba,ABA League,2025-26,2026-03-22,Crvena Zvezda Meridianbet,D 96-100,2026-03-25,22.72,6.0,1.0,5.0,20.0,1.0,5.0,20.0,1.0,2.0,50.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,-2.0,0.0
P009992,Darío Brizuela,FC Barcelona,euroleague,EuroLeague,E2025,2026-03-24,Anadolu Efes Istanbul,V 78-71,2026-03-25,12.73,9.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,-4.0,11.0
P011305,Tyson Carter,Crvena zvezda,euroleague,EuroLeague,E2025,2026-03-20,Panathinaikos AKTOR Athens,D 74-82,2026-03-25,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402220,Tyson Carter,Crvena zvezda,eurobasket,ABA League,2025-26,2026-03-22,Partizan,V 100-96,2026-03-25,7.0,3.0,0.0,0.0,,1.0,2.0,50.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,,-1.0
P005596,Yankuba Sima,Valencia Basket,euroleague,EuroLeague,E2025,2026-03-19,FC Barcelona,D 62-66,2026-03-25,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P011217,Kameron Taylor,Valencia Basket,euroleague,EuroLeague,E2025,2026-03-24,Olympiacos Piraeus,V 85-84,2026-03-25,20.72,3.0,0.0,1.0,0.0,1.0,4.0,25.0,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,2.0,0.0,2.0,-12.0,1.0
la-laguna-tenerife/151899-giorgi-shermadini,Giorgi Shermadini,Lenovo Tenerife,bcl,BCL,2025-26,2026-03-11,Gran Canaria,V 79-76,2026-03-25,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-11.0,1.0
P003840,Axel Bouteille,Budućnost VOLI,eurocup,EuroCup,U2025,2026-03-11,U-BT Cluj-Napoca,D 82-100,2026-03-25,13.55,8.0,1.0,2.0,50.0,1.0,4.0,25.0,3.0,3.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,-8.0,6.0
5073,Axel Bouteille,Budućnost VOLI,aba,ABA League,2025-26,2026-03-21,Dubai Basketball,D 78-95,2026-03-25,25.8,7.0,2.0,6.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,1.0,0.0,0.0,0.0,-7.0,11.0
26892,Mindaugas Kuzminskas,AEK BC,eurobasket,Greek League,2025-26,2026-03-22,Iraklis,V 100-87,2026-03-25,5.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,-1.0
1076,Dragan Milosavljević,Igokea m:tel,aba,ABA League,2025-26,2026-03-22,Cedevita Olimpija,V 81-77,2026-03-25,28.35,11.0,2.0,3.0,66.7,1.0,1.0,100.0,4.0,7.0,57.1,0.0,2.0,2.0,0.0,3.0,1.0,0.0,4.0,4.0,11.0
P008052,Kyle Wiltjer,Umana Reyer Venezia,eurocup,EuroCup,U2025,2026-03-11,Dolomiti Energia Trento,D 90-94,2026-03-25,25.03,16.0,7.0,12.0,58.3,0.0,4.0,0.0,2.0,2.0,100.0,3.0,4.0,7.0,0.0,0.0,1.0,0.0,3.0,-6.0,12.0
