player_id,player_name,source,competition,season,game_date,opponent,result,date,min,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,fouls,plus_minus,val,team,blk_against,fouls_received
3155942,Domas Sabonis,nba,NBA,2025-26,2026-02-05,vs. MEM,D 125-129,2026-04-03,24.0,24.0,10.0,18.0,55.6,0.0,0.0,,4.0,4.0,100.0,7.0,8.0,15.0,3.0,1.0,1.0,0.0,3.0,-12.0,,Sacramento Kings,,
P003842,Mathias Lessort,euroleague,EuroLeague,E2025,2026-04-02,Hapoel IBI Tel Aviv,D 88-92,2026-04-03,15.13,5.0,1.0,3.0,33.3,0.0,0.0,,3.0,4.0,75.0,1.0,3.0,4.0,1.0,1.0,3.0,0.0,4.0,-10.0,5.0,Panathinaikos,0.0,4.0
252481,Mathias Lessort,eurobasket,Greek League,2025-26,2026-03-30,Olympiacos,D 94-101,2026-04-03,29.0,10.0,3.0,7.0,42.9,0.0,0.0,,4.0,4.0,100.0,1.0,5.0,6.0,3.0,2.0,1.0,0.0,4.0,,17.0,Panathinaikos,,
P000848,Nemanja Nedović,euroleague,EuroLeague,E2025,2026-04-02,Dubai Basketball,D 91-101,2026-04-03,18.28,11.0,1.0,2.0,50.0,3.0,4.0,75.0,0.0,0.0,,0.0,0.0,0.0,4.0,2.0,1.0,0.0,4.0,-6.0,12.0,AS Monaco,0.0,2.0
130801,Nemanja Nedović,eurobasket,LNB Pro A,2025-26,2026-03-29,Le Mans,V 99-85,2026-04-03,26.0,13.0,0.0,2.0,0.0,3.0,5.0,60.0,4.0,4.0,100.0,0.0,1.0,1.0,7.0,1.0,2.0,0.0,3.0,,13.0,AS Monaco,,
P010581,Dylan Osetkowski,euroleague,EuroLeague,E2025,2026-04-02,Crvena Zvezda Meridianbet Belgrade,V 89-82,2026-04-03,23.07,4.0,2.0,3.0,66.7,0.0,3.0,0.0,0.0,0.0,,1.0,4.0,5.0,4.0,2.0,1.0,0.0,3.0,-4.0,6.0,Partizan Mozzart Bet,1.0,0.0
5100,Dylan Osetkowski,aba,ABA League,2025-26,2026-03-30,Bosna Bh Telecom,V 82-66,2026-04-03,19.05,6.0,1.0,2.0,50.0,1.0,3.0,33.3,1.0,1.0,100.0,1.0,4.0,5.0,2.0,1.0,0.0,0.0,2.0,-1.0,10.0,Partizan Mozzart Bet,,
P009992,Darío Brizuela,euroleague,EuroLeague,E2025,2026-04-02,Zalgiris Kaunas,D 71-83,2026-04-03,25.37,8.0,1.0,4.0,25.0,1.0,3.0,33.3,3.0,3.0,100.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,3.0,-6.0,8.0,FC Barcelona,0.0,4.0
20209919,Darío Brizuela,acb,ACB,2025-26,2026-03-29,Unicaja,V 97-91,2026-04-03,18.68,17.0,0.0,0.0,0.0,5.0,9.0,56.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,16.0,12.0,FC Barcelona,0.0,1.0
P011305,Tyson Carter,euroleague,EuroLeague,E2025,2026-04-02,Partizan Mozzart Bet Belgrade,D 82-89,2026-04-03,7.22,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-3.0,Crvena zvezda,0.0,0.0
402220,Tyson Carter,eurobasket,ABA League,2025-26,2026-03-30,Dubai,V 84-82,2026-04-03,18.0,3.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0,,0.0,Crvena zvezda,,
20213230,Yankuba Sima,acb,ACB,2025-26,2026-03-29,Recoletas Salud,V 74-79,2026-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Valencia Basket,0.0,0.0
P011217,Kameron Taylor,euroleague,EuroLeague,E2025,2026-03-27,Partizan Mozzart Bet Belgrade,D 104-110,2026-04-03,32.8,18.0,4.0,5.0,80.0,2.0,2.0,100.0,4.0,6.0,66.7,1.0,5.0,6.0,4.0,2.0,3.0,0.0,3.0,9.0,25.0,Valencia Basket,0.0,4.0
30001981,Kameron Taylor,acb,ACB,2025-26,2026-02-15,MoraBanc And,V 75-107,2026-04-03,15.2,22.0,2.0,3.0,67.0,6.0,8.0,75.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,21.0,Valencia Basket,0.0,0.0
20210659,Giorgi Shermadini,acb,ACB,2025-26,2026-03-29,Casademont Zgz,V 99-76,2026-04-03,16.25,15.0,5.0,7.0,71.0,0.0,0.0,0.0,5.0,5.0,100.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,15.0,22.0,Lenovo Tenerife,0.0,7.0
la-laguna-tenerife/151899-giorgi-shermadini,Giorgi Shermadini,bcl,BCL,2025-26,2026-04-01,Galatasaray,V 84-83,2026-04-03,20.0,14.0,5.0,7.0,71.4,0.0,0.0,0.0,4.0,4.0,100.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,2.0,10.0,18.0,Lenovo Tenerife,,
