player_id,player_name,team,source,competition,season,game_date,opponent,result,date,min,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,fouls,plus_minus,val
20209919,Darío Brizuela,FC Barcelona,acb,ACB,2025-26,2026-01-11,Coviran Granada,V 108-71,2026-03-13,17.17,14.0,3.0,3.0,100.0,2.0,4.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,14.0
20210707,Rubén Guerrero,MoraBanc Andorra,acb,ACB,2025-26,2026-01-11,Real Madrid,D 85-90,2026-03-13,7.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,-4.0,2.0
30000479,Yannick Nzosa,San Pablo Burgos,acb,ACB,2025-26,2026-01-11,Joventut,D 95-98,2026-03-13,11.53,4.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,-5.0,0.0
26892,Mindaugas Kuzminskas,AEK BC,eurobasket,Greek League,2025-26,2026-01-11,Mykonos,V 90-65,2026-03-24,18.0,12.0,0.0,0.0,,3.0,5.0,60.0,3.0,4.0,75.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,,12.0
5073,Axel Bouteille,Budućnost VOLI,aba,ABA League,2025-26,2026-01-11,Zadar,V 87-66,2026-03-24,18.4,18.0,1.0,4.0,25.0,5.0,6.0,83.3,1.0,2.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,15.0
5100,Dylan Osetkowski,Partizan Mozzart Bet,aba,ABA League,2025-26,2026-01-11,SC Derby,V 78-66,2026-03-24,21.25,12.0,1.0,1.0,100.0,2.0,3.0,66.7,4.0,4.0,100.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,17.0,14.0
